text,label
THIS IS A BAD CHARGER IT DOES NOT WORK PROPERLY AND IT HAS A REALLY BAD SHORTAGE. I HATE IT!,Strong Negative
I bought 10 of these.  They are the worst product I have ever used.  They DO NOT work as advertised.  Nothing sticks to them,Strong Negative
This does not work at all. And once you put it on it is so hard to took off. Never again!!!!,Strong Negative
It says it's compatible with all Motorola handsets...  It doesn't work at all with Motorola/Giant Talkabout FRS/GMRS/CB 2-way radios having 2.5mm jacks.  Very disappointing.,Strong Negative
"This fell apart after one use, and the person I called couldn't even hear me when it wasn't broken to pieces.  VERY disappointed! :(",Strong Negative
I tried putting my Galaxy S4 in the case and it kept popping out. It seems like the plastic casing is too small for the phone. Very disappointed.,Strong Negative
"Product quality of this item is very, very poor.  After charging my phone for 15 minutes the charger began to overheat and the charge on my phone started to fail.  Had to return this item for refund.",Strong Negative
The charger did come in and does charge my mp3 players like it's supposed to. The shipping was longer than what I paid for. However I thought the charger was a disconnected charger to where the cable could come off the base and connect to a computer so I'll have to order another charger that does what I need it to do.,Strong Negative
Crap do not buy will not work with any of the phones I have paid under four dollars.  I just trashed it,Strong Negative
i think i dropped my phone once or twice with this case on... No damage to case or phone so it does its job well.4 stars because it blocks wifi signal shortening the distance you can be from the WAP...  I guess this happens with all cases though...  :(,Strong Negative
I was disappointed in this product.  Not as advertised.  I would not recommend it for use as it doesn't 'grip' the item you set on it.,Strong Negative
"This is a must if you have a Nokia phone, too bad that Nokia dosent allow all of thier phones charge via USB. So you need this charger. You can use it with the Duracell USB backup battery so you have power on the go!!.",Strong Negative
I chose this rating because the product never came.  I dislike that they were no help in getting me this product.  I recommend that no one else buy from this person because you will receive no item.  It's hard to rate the quality of something that does not exist. :(,Strong Negative
"Every time I plug this so called ""product"" into iPhone 4, it says ""Impossible to charge with this device"". Or something like that. What is the reason of buying it?! Just another disappointment...",Strong Negative
"These things are terrible! At least the ones I got from ""itemsforless"". The cord pulled out at the phone end.Come on Amazon get these ""sellers"" off the web site! It's getting as bad as E-bay.",Strong Negative
Worked for 3 days then never worked again. Was very disappointed with this product. Would not recommend to anyone at all.,Strong Negative
"This is one of the worst Bluetooths I've had.  I thought I'd try it for the price but as the saying goes, &34;You get what you pay for&34;.",Strong Negative
i bought the aliph jawbone II bluetooth headset with noiseasssassin in black and i hated it it did not work like it suppose to.,Strong Negative
I got this headset when socom came out n still have it to this day.  Too bad all the accessories for headsets are for the newer one.,Strong Negative
You have to get a very very thin case for it to work on this case. And the belt loops broke after 3 months of use. I got the Grantwood iPhone holster instead.,Strong Negative
"I didn't like this prodct.  I dropped my phone on my carpeted floor and the corner broke, so that I could not use the cover. The sheild was very hard to put on the screen.  It was very difficult to get the air bubbles out.  It also darkened tte screen on the phone.",Strong Negative
My IPhone did not fit in the case - very disappointed.  Was looking forward to using the case with my phone.,Strong Negative
One end is longer than the other and its mic is bad i hate it and it broke after 2 months,Strong Negative
"I received it broken, and they didn't offer to replace it. You get what you pay for. Do not buy!!!!",Strong Negative
Very terrible protection too glossy and it bubbles ridiculously its horrible. Came in a pack of five went through all of the them in 2 days. Sucks,Strong Negative
I did not like this product.  Very difficult to apply to screen.  Air bubbles are terrible to get off the screen.,Strong Negative
